FRAME,KEY,STATUS
254,Key.right,DOWN
348,x,DOWN
362,x,UP
404,Key.right,UP
406,Key.right,DOWN
410,Key.right,UP
414,Key.right,DOWN
416,Key.right,UP
428,x,DOWN
438,x,UP
442,x,DOWN
446,x,UP
464,Key.right,DOWN
468,Key.right,UP
470,Key.right,DOWN
476,x,DOWN
478,Key.right,UP
492,x,UP
542,Key.right,DOWN
544,Key.right,UP
562,Key.right,DOWN
564,Key.right,UP
588,Key.right,DOWN
592,Key.right,UP
598,x,DOWN
608,x,UP
702,Key.right,DOWN
708,Key.right,UP
710,Key.right,DOWN
722,x,DOWN
728,Key.right,UP
738,x,UP
742,Key.right,DOWN
744,Key.right,UP
746,Key.right,DOWN
748,Key.right,UP
752,Key.right,DOWN
756,Key.right,UP
760,Key.right,DOWN
764,Key.right,UP
768,Key.right,DOWN
814,Key.right,UP
820,Key.right,DOWN
826,Key.right,UP
836,Key.right,DOWN
836,x,DOWN
858,x,UP
946,x,DOWN
970,x,UP
986,Key.right,UP
992,Key.right,DOWN
994,Key.right,UP
1010,Key.right,DOWN
1012,Key.right,UP
1030,Key.right,DOWN
1052,x,DOWN
1086,x,UP
1098,x,DOWN
1112,x,UP
1164,x,DOWN
1204,x,UP
1322,x,DOWN
1342,x,UP
1418,x,DOWN
1420,Key.right,UP
1430,x,UP
1464,Key.right,DOWN
1476,Key.right,UP
1478,x,DOWN
1488,x,UP
1526,x,DOWN
1538,x,UP
1562,x,DOWN
1584,Key.left,DOWN
1586,x,UP
1588,Key.left,UP
1588,Key.right,DOWN
1590,Key.right,UP
1596,Key.right,DOWN
1598,Key.right,UP
1612,Key.right,DOWN
1614,Key.right,UP
1616,Key.right,DOWN
1618,Key.right,UP
1628,Key.left,DOWN
1630,Key.left,UP
1644,Key.left,DOWN
1648,Key.left,UP
1650,Key.left,DOWN
1652,Key.left,UP
1696,Key.right,DOWN
1708,x,DOWN
1740,x,UP
1802,x,DOWN
1824,x,UP
1838,Key.right,UP
1854,Key.left,DOWN
1856,Key.left,UP
1914,Key.left,DOWN
1916,Key.left,UP
1948,x,DOWN
1952,Key.right,DOWN
1954,Key.right,UP
1956,Key.right,DOWN
1960,x,UP
1966,Key.left,DOWN
1966,Key.right,UP
1968,Key.left,UP
1970,Key.left,DOWN
1972,Key.left,UP
1972,Key.right,DOWN
1974,Key.left,DOWN
1974,Key.right,UP
1976,Key.left,UP
1978,Key.right,DOWN
1978,x,DOWN
1980,x,UP
1988,Key.right,UP
1998,Key.right,DOWN
2000,x,DOWN
2004,x,UP
2006,x,DOWN
2012,Key.right,UP
2014,x,UP
2050,Key.right,DOWN
2052,Key.right,UP
2054,Key.right,DOWN
2098,x,DOWN
2108,x,UP
2110,x,DOWN
2112,Key.right,UP
2112,x,UP
2114,Key.right,DOWN
2116,Key.right,UP
2132,x,DOWN
2142,Key.left,DOWN
2142,Key.right,DOWN
2142,x,UP
2144,Key.left,UP
2146,Key.right,UP
2152,Key.left,DOWN
2168,Key.left,UP
2170,Key.left,DOWN
2172,Key.left,UP
2180,Key.left,DOWN
2182,Key.left,UP
2190,x,DOWN
2196,Key.left,DOWN
2200,x,UP
2234,Key.left,UP
2246,Key.right,DOWN
2260,Key.right,UP
2262,Key.right,DOWN
2264,Key.right,UP
2266,Key.right,DOWN
2268,Key.right,UP
2270,Key.right,DOWN
2272,Key.right,UP
2304,Key.right,DOWN
2312,Key.right,UP
2314,Key.right,DOWN
2318,Key.right,UP
2322,Key.right,DOWN
2324,Key.right,UP
2328,Key.right,DOWN
2332,Key.right,UP
2338,Key.right,DOWN
2346,Key.right,UP
2376,x,DOWN
2378,Key.right,DOWN
2378,x,UP
2382,Key.right,UP
2418,Key.right,DOWN
2420,Key.right,UP
2440,Key.left,DOWN
2440,Key.right,DOWN
2444,Key.left,UP
2446,Key.left,DOWN
2448,Key.left,UP
2530,x,DOWN
2536,x,UP
2540,Key.right,UP
2542,Key.right,DOWN
2562,Key.right,UP
2564,Key.right,DOWN
2566,Key.right,UP
2570,x,DOWN
2576,x,UP
2584,Key.left,DOWN
2590,Key.left,UP
2604,Key.left,DOWN
2606,Key.left,UP
2630,x,DOWN
2634,Key.right,DOWN
2652,x,UP
2672,x,DOWN
2694,x,UP
2706,x,DOWN
2708,x,UP
2720,Key.left,DOWN
2720,Key.right,UP
2722,Key.right,DOWN
2724,Key.right,UP
2748,x,DOWN
2750,Key.left,UP
2754,Key.right,DOWN
2756,Key.left,DOWN
2758,Key.left,UP
2760,Key.left,DOWN
2760,Key.right,UP
2768,x,UP
2772,Key.right,DOWN
2778,Key.left,UP
2782,Key.left,DOWN
2784,Key.left,UP
2790,x,DOWN
2804,x,UP
2860,Key.right,UP
2862,Key.right,DOWN
2866,Key.right,UP
2868,Key.right,DOWN
2870,x,DOWN
2874,Key.right,UP
2876,Key.right,DOWN
2896,x,UP
2912,x,DOWN
2922,x,UP
2942,Key.left,DOWN
2944,Key.left,UP
2986,x,DOWN
3000,Key.left,DOWN
3004,x,UP
3006,x,DOWN
3008,x,UP
3024,Key.left,UP
3034,x,DOWN
3044,x,UP
3106,x,DOWN
3130,x,UP
3146,x,DOWN
3152,x,UP
3198,x,DOWN
3208,x,UP
3304,Key.right,UP
3308,Key.right,DOWN
3310,Key.right,UP
3316,Key.right,DOWN
3362,x,DOWN
3370,Key.right,UP
3372,x,UP
3392,x,DOWN
3404,Key.right,DOWN
3412,x,UP
3416,Key.right,UP
3422,Key.right,DOWN
3424,Key.right,UP
3432,Key.left,DOWN
3434,Key.left,UP
3436,x,DOWN
3438,Key.left,DOWN
3438,x,UP
3458,Key.left,UP
3460,Key.left,DOWN
3470,Key.left,UP
3476,x,DOWN
3480,Key.right,DOWN
3498,Key.right,UP
3500,x,UP
3522,x,DOWN
3524,x,UP
3532,Key.left,DOWN
3534,Key.left,UP
3562,Key.left,DOWN
3564,Key.left,UP
3566,Key.left,DOWN
3568,Key.left,UP
3568,x,DOWN
3584,Key.right,DOWN
3586,Key.right,UP
3598,x,UP
3606,x,DOWN
3622,Key.right,DOWN
3622,x,UP
3624,Key.right,UP
3632,Key.right,DOWN
3640,x,DOWN
3642,Key.right,UP
3646,x,UP
3648,Key.right,DOWN
3648,x,DOWN
3650,Key.right,UP
3650,x,UP
3652,x,DOWN
3654,Key.right,DOWN
3654,x,UP
3676,Key.right,UP
3678,Key.right,DOWN
3680,Key.right,UP
3692,x,DOWN
3696,Key.right,DOWN
3724,x,UP
3728,x,DOWN
3730,x,UP
3740,x,DOWN
3766,x,UP
3856,x,DOWN
3890,x,UP
3904,x,DOWN
3920,x,UP
4002,x,DOWN
4022,x,UP
4096,Key.right,UP
4120,Key.left,DOWN
4138,Key.left,UP
4140,Key.left,DOWN
4142,Key.left,UP
4144,Key.left,DOWN
4146,Key.left,UP
4166,x,DOWN
4172,x,UP
4174,x,DOWN
4176,x,UP
4178,x,DOWN
4184,x,UP
4192,Key.right,DOWN
4264,x,DOWN
4278,x,UP
4306,x,DOWN
4334,x,UP
4354,x,DOWN
4388,x,UP
4406,x,DOWN
4436,x,UP
4514,x,DOWN
4544,x,UP
4546,x,DOWN
4548,x,UP
4550,x,DOWN
4552,x,UP
4556,Key.right,UP
5840,Key.right,DOWN
5912,Key.right,UP
5980,Key.right,DOWN
5982,x,DOWN
6002,x,UP
6026,Key.right,UP
6028,Key.right,DOWN
6034,Key.right,UP
6038,Key.right,DOWN
6040,Key.right,UP
6062,x,DOWN
6076,x,UP
6086,Key.left,DOWN
6114,Key.left,UP
6116,Key.left,DOWN
6118,Key.left,UP
6120,Key.left,DOWN
6126,Key.left,UP
6154,Key.right,DOWN
