FRAME,KEY,STATUS
11,Key.cmd,DOWN
17,Key.right,DOWN
20,Key.right,UP
22,Key.cmd,UP
27,Key.alt,DOWN
29,Key.space,DOWN
31,Key.alt,UP
33,Key.space,UP
37,'r',DOWN
40,'e',DOWN
41,'r',UP
42,'e',UP
44,'t',DOWN
46,'r',DOWN
48,'t',UP
49,'r',UP
60,Key.enter,DOWN
63,Key.enter,UP
225,Key.down,DOWN
230,Key.down,UP
261,Key.down,DOWN
266,Key.down,UP
276,Key.up,DOWN
280,Key.up,UP
287,Key.down,DOWN
291,Key.down,UP
347,Key.enter,DOWN
350,Key.enter,UP
448,Key.right,DOWN
504,Key.right,UP
539,'x',DOWN
553,'x',UP
571,'x',DOWN
587,'x',UP
602,'x',DOWN
617,'x',UP
619,Key.left,DOWN
632,Key.left,UP
655,'x',DOWN
656,Key.right,DOWN
676,'x',UP
679,Key.right,UP
691,'x',DOWN
691,Key.left,DOWN
712,Key.left,UP
712,'x',UP
727,'x',DOWN
727,Key.right,DOWN
748,'x',UP
749,Key.right,UP
766,'x',DOWN
767,Key.left,DOWN
782,Key.left,UP
783,'x',UP
817,Key.right,DOWN
845,Key.right,UP
876,Key.left,DOWN
897,Key.left,UP
928,Key.right,DOWN
951,Key.right,UP
981,Key.left,DOWN
1005,Key.left,UP
1047,Key.right,DOWN
1075,Key.right,UP
1110,'x',DOWN
1120,'x',UP
1154,'x',DOWN
1165,'x',UP
1194,'x',DOWN
1209,'x',UP
1235,'x',DOWN
1253,'x',UP
1275,Key.right,DOWN
1340,'x',DOWN
1349,'x',UP
1360,'x',DOWN
1364,'x',UP
1386,'x',DOWN
1401,'x',UP
1411,'x',DOWN
1435,'x',UP
1449,Key.right,UP
1460,'x',DOWN
1467,Key.right,DOWN
1476,'x',UP
1483,'x',DOWN
1492,'x',UP
1517,'x',DOWN
1534,'x',UP
1534,Key.right,UP
1571,Key.cmd,DOWN
1575,Key.right,DOWN
1578,Key.right,UP
1585,Key.cmd,UP
1644,Key.cmd,DOWN
