FRAME,KEY,STATUS
28,Key.cmd,DOWN
43,Key.right,DOWN
49,Key.right,UP
59,Key.cmd,UP
89,Key.enter,DOWN
94,Key.enter,UP
296,Key.right,DOWN
346,Key.media_volume_down,DOWN
354,Key.media_volume_down,UP
359,Key.media_volume_down,DOWN
365,Key.media_volume_down,UP
372,Key.media_volume_down,DOWN
378,Key.media_volume_down,UP
444,Key.right,UP
467,'x',DOWN
484,'x',UP
487,Key.left,DOWN
497,Key.left,UP
505,Key.left,DOWN
523,'x',DOWN
539,'x',UP
552,Key.left,UP
562,Key.right,DOWN
571,Key.right,UP
581,Key.right,DOWN
590,Key.right,UP
601,'x',DOWN
621,'x',UP
664,Key.right,DOWN
751,'x',DOWN
753,Key.right,UP
766,'x',UP
784,Key.left,DOWN
811,Key.left,UP
813,'x',DOWN
823,Key.right,DOWN
836,'x',UP
867,Key.right,UP
877,Key.right,DOWN
890,Key.right,UP
897,Key.right,DOWN
907,Key.right,UP
915,Key.left,DOWN
1040,Key.left,UP
1084,Key.right,DOWN
1142,Key.right,UP
1157,Key.left,DOWN
1168,Key.left,UP
1173,Key.left,DOWN
1181,Key.left,UP
1193,'x',DOWN
1207,Key.left,DOWN
1226,'x',UP
1248,Key.left,UP
1268,Key.right,DOWN
1278,Key.right,UP
1288,Key.right,DOWN
1294,Key.right,UP
1305,'x',DOWN
1319,'x',UP
1342,Key.right,DOWN
1387,Key.right,UP
1408,Key.left,DOWN
1452,Key.left,UP
1466,'x',DOWN
1474,'x',UP
1495,Key.left,DOWN
1509,Key.left,UP
1521,'x',DOWN
1531,'x',UP
1570,Key.right,DOWN
1620,'x',DOWN
1632,'x',UP
1638,Key.right,UP
1662,Key.down,DOWN
1680,Key.down,UP
1693,Key.right,DOWN
1743,Key.right,UP
1761,Key.left,DOWN
1808,Key.left,UP
1823,Key.right,DOWN
1897,Key.right,UP
1916,Key.left,DOWN
1967,Key.left,UP
2061,Key.right,DOWN
2097,Key.right,UP
2157,'x',DOWN
2187,'x',UP
2228,Key.left,DOWN
2228,'x',DOWN
2269,'x',UP
2273,Key.left,UP
2285,Key.right,DOWN
2301,'x',DOWN
2339,'x',UP
2362,Key.right,UP
2362,Key.left,DOWN
2370,'x',DOWN
2405,'x',UP
2420,Key.left,UP
2469,Key.right,DOWN
2518,Key.right,UP
2567,Key.left,DOWN
2620,Key.left,UP
2675,Key.right,DOWN
2740,'x',DOWN
2754,'x',UP
2765,Key.right,UP
2811,Key.right,DOWN
2869,'x',DOWN
2892,'x',UP
2895,Key.right,UP
2904,Key.left,DOWN
2933,Key.left,UP
2947,Key.left,DOWN
2994,Key.left,UP
3003,Key.left,DOWN
3011,Key.left,UP
3033,Key.right,DOWN
3078,'x',DOWN
3116,'x',UP
3124,Key.right,UP
3169,Key.left,DOWN
3194,Key.left,UP
3206,Key.right,DOWN
3240,Key.right,UP
3272,'x',DOWN
3294,Key.right,DOWN
3303,'x',UP
3306,Key.right,UP
3319,Key.left,DOWN
3340,Key.left,UP
3348,Key.left,DOWN
3359,Key.left,UP
3372,Key.left,DOWN
3376,Key.left,UP
3431,'x',DOWN
3448,Key.left,DOWN
3457,'x',UP
3468,Key.left,UP
3472,Key.left,DOWN
3490,Key.left,UP
3512,Key.right,DOWN
3570,Key.right,UP
3590,Key.left,DOWN
3642,Key.left,UP
3662,Key.right,DOWN
3683,'x',DOWN
3708,Key.right,UP
3708,'x',UP
3755,Key.left,DOWN
3801,Key.left,UP
3868,Key.right,DOWN
3908,Key.right,UP
3971,Key.left,DOWN
4012,Key.left,UP
4057,Key.right,DOWN
4120,'x',DOWN
4150,'x',UP
4154,Key.right,UP
4227,Key.right,DOWN
4304,Key.right,UP
