FRAME,KEY,STATUS
143,Key.enter,DOWN
145,Key.enter,UP
243,Key.enter,DOWN
246,Key.enter,UP
346,Key.right,DOWN
491,'d',DOWN
517,'d',UP
519,Key.right,UP
534,Key.left,DOWN
564,Key.left,UP
580,Key.right,DOWN
619,'d',DOWN
645,'d',UP
651,Key.right,UP
660,Key.left,DOWN
676,Key.left,UP
676,Key.right,DOWN
698,'d',DOWN
722,'d',UP
734,Key.right,UP
739,'d',DOWN
749,Key.left,DOWN
768,'d',UP
802,'d',DOWN
811,Key.right,DOWN
812,Key.left,UP
828,'d',UP
832,Key.left,DOWN
832,Key.right,UP
847,Key.left,UP
858,Key.left,DOWN
883,Key.left,UP
891,Key.right,DOWN
909,'d',DOWN
957,'d',UP
999,Key.right,UP
1105,Key.left,DOWN
1115,'d',DOWN
1158,'d',UP
1173,Key.left,UP
1173,Key.right,DOWN
1175,'d',DOWN
1183,'d',UP
1220,'d',DOWN
1260,'d',UP
1351,'d',DOWN
1373,'d',UP
1394,'d',DOWN
1441,'d',UP
1444,Key.right,UP
1456,Key.left,DOWN
1470,Key.left,UP
1481,Key.right,DOWN
1487,Key.right,UP
1500,Key.left,DOWN
1515,Key.left,UP
1533,Key.right,DOWN
1543,'d',DOWN
1589,'d',UP
1597,'d',DOWN
1641,'d',UP
1667,'d',DOWN
1694,'d',UP
1700,'d',DOWN
1744,'d',UP
1754,'d',DOWN
1763,'d',UP
1861,'d',DOWN
1871,'d',UP
1969,'d',DOWN
1989,'d',UP
2047,'d',DOWN
2081,'d',UP
2090,Key.right,UP
2123,Key.left,DOWN
2160,'d',DOWN
2210,'d',UP
2222,Key.left,UP
2238,Key.right,DOWN
2276,'d',DOWN
2321,'d',UP
2334,'d',DOWN
2344,'d',UP
2387,'d',DOWN
2423,'d',UP
2428,Key.right,UP
2474,Key.right,DOWN
2480,'d',DOWN
2488,'d',UP
2493,Key.right,UP
2559,Key.left,DOWN
2567,Key.left,UP
2583,Key.right,DOWN
2602,'d',DOWN
2607,'d',UP
2615,Key.right,UP
2625,Key.left,DOWN
2637,Key.left,UP
2655,Key.left,DOWN
2672,'d',DOWN
2685,'d',UP
2707,Key.left,UP
2721,Key.right,DOWN
2821,'d',DOWN
2828,'d',UP
2855,'d',DOWN
2861,'d',UP
2920,'d',DOWN
2935,'d',UP
2963,'d',DOWN
2968,'d',UP
2976,Key.right,UP
2995,Key.right,DOWN
3000,'d',DOWN
3008,'d',UP
3017,Key.right,UP
3027,Key.right,DOWN
3027,'d',DOWN
3033,'d',UP
3069,Key.right,UP
3084,Key.right,DOWN
3113,'d',DOWN
3125,'d',UP
3159,Key.right,UP
3169,'d',DOWN
3173,Key.right,DOWN
3178,'d',UP
3192,Key.right,UP
3209,Key.right,DOWN
3209,'d',DOWN
3217,'d',UP
3238,'d',DOWN
3257,'d',UP
3330,'d',DOWN
3355,'d',UP
3377,'d',DOWN
3383,'d',UP
3412,'d',DOWN
3420,'d',UP
3448,'d',DOWN
3490,'d',UP
3539,'d',DOWN
3553,'d',UP
3614,'s',DOWN
3640,'d',DOWN
3640,'s',UP
3657,'d',UP
3683,'d',DOWN
3742,'d',UP
3745,'d',DOWN
3811,'d',UP
3816,'d',DOWN
3851,'d',UP
3875,Key.right,UP
3884,Key.right,DOWN
3884,'d',DOWN
3890,'d',UP
3923,'d',DOWN
3979,'d',UP
3983,Key.right,UP
4002,Key.right,DOWN
4012,'d',DOWN
4030,'d',UP
4051,Key.right,UP
4467,Key.right,DOWN
4475,Key.right,UP
4898,Key.right,DOWN
4980,Key.right,UP
5171,Key.right,DOWN
5179,Key.right,UP
5245,Key.right,DOWN
5332,Key.up,DOWN
5344,'d',DOWN
5356,'d',UP
5361,Key.up,UP
5377,Key.right,UP
5393,Key.left,DOWN
5400,Key.left,UP
5402,'d',DOWN
5408,Key.right,DOWN
5410,'d',UP
5415,'d',DOWN
5419,'d',UP
5424,'d',DOWN
5430,'d',UP
5434,'d',DOWN
5440,'d',UP
5444,Key.right,UP
5465,Key.left,DOWN
5511,'d',DOWN
5522,'d',UP
5538,'d',DOWN
5546,'d',UP
5558,Key.right,DOWN
5559,Key.left,UP
5590,'d',DOWN
5602,'d',UP
5619,'d',DOWN
5626,'d',UP
5641,Key.right,UP
5718,Key.right,DOWN
5718,'d',DOWN
5730,'d',UP
5756,Key.right,UP
5826,Key.right,DOWN
5838,'d',DOWN
5849,'d',UP
5871,'d',DOWN
5889,'d',UP
5912,'d',DOWN
5924,'d',UP
5965,'d',DOWN
5974,'d',UP
6011,'d',DOWN
6019,'d',UP
6044,'d',DOWN
6073,'d',UP
6164,'d',DOWN
6173,'d',UP
6180,Key.right,UP
6188,Key.left,DOWN
6224,Key.left,UP
6238,Key.left,DOWN
6304,Key.left,UP
6304,Key.right,DOWN
6311,'d',DOWN
6317,'d',UP
6341,Key.right,UP
6348,Key.right,DOWN
6351,'d',DOWN
6359,'d',UP
6364,'d',DOWN
6370,'d',UP
6398,Key.right,UP
6403,Key.left,DOWN
6429,Key.left,UP
6430,Key.right,DOWN
6458,'d',DOWN
6467,'d',UP
6476,Key.right,UP
6526,Key.right,DOWN
6568,Key.right,UP
6579,Key.left,DOWN
6613,Key.left,UP
6619,Key.right,DOWN
6633,Key.right,UP
6643,Key.right,DOWN
6668,'d',DOWN
6678,'d',UP
6707,'d',DOWN
6715,'d',UP
6729,Key.right,UP
6969,Key.right,DOWN
6975,Key.right,UP
6990,Key.enter,DOWN
6993,Key.enter,UP
7183,Key.right,DOWN
7261,'d',DOWN
7271,'d',UP
7306,'d',DOWN
7312,'d',UP
7330,Key.right,UP
