FRAME,KEY,STATUS
235,Key.enter,DOWN
239,Key.enter,UP
437,Key.right,DOWN
487,Key.left,DOWN
488,Key.right,UP
521,Key.left,UP
531,Key.right,DOWN
542,'s',DOWN
585,'s',UP
593,Key.left,DOWN
593,Key.right,UP
622,Key.left,UP
629,Key.left,DOWN
650,Key.left,UP
656,Key.up,DOWN
668,Key.up,UP
695,Key.right,DOWN
704,Key.right,UP
704,'d',DOWN
712,'d',UP
801,Key.right,DOWN
815,Key.right,UP
815,'d',DOWN
822,'d',UP
837,Key.right,DOWN
848,Key.right,UP
1250,Key.right,DOWN
1318,Key.right,UP
1325,Key.left,DOWN
1342,Key.right,DOWN
1343,Key.left,UP
1385,Key.right,UP
1393,Key.left,DOWN
1404,Key.right,DOWN
1406,Key.left,UP
1445,Key.right,UP
1455,Key.left,DOWN
1500,Key.left,UP
1518,Key.right,DOWN
1538,Key.right,UP
1556,Key.right,DOWN
1569,Key.right,UP
1582,Key.right,DOWN
1592,'d',DOWN
1598,Key.right,UP
1607,'d',UP
1632,Key.left,DOWN
1636,Key.left,UP
1648,Key.right,DOWN
1665,Key.right,UP
1674,'s',DOWN
1685,'s',UP
1702,'d',DOWN
1715,'d',UP
1721,Key.right,DOWN
1733,Key.right,UP
1744,Key.right,DOWN
1756,Key.right,UP
1773,'d',DOWN
1782,'d',UP
1809,Key.right,DOWN
1860,Key.right,UP
1860,'d',DOWN
1873,'d',UP
1883,Key.right,DOWN
1896,'d',DOWN
1898,Key.right,UP
1906,'d',UP
1914,Key.left,DOWN
1924,'s',DOWN
1952,'s',UP
1954,Key.left,UP
1956,Key.right,DOWN
1973,Key.right,UP
1973,'d',DOWN
1982,'d',UP
2005,Key.left,DOWN
2027,Key.left,UP
2036,Key.right,DOWN
2040,Key.right,UP
2049,'s',DOWN
2061,'s',UP
2065,Key.left,DOWN
2076,Key.left,UP
2078,'d',DOWN
2090,'d',UP
2108,Key.right,DOWN
2144,Key.right,UP
2161,Key.right,DOWN
2174,Key.right,UP
2245,Key.left,DOWN
2256,Key.left,UP
2262,Key.right,DOWN
2271,Key.right,UP
2332,'s',DOWN
2337,'s',UP
2345,'d',DOWN
2358,Key.left,DOWN
2371,'d',UP
2393,Key.left,UP
2398,Key.right,DOWN
2421,Key.right,UP
2439,Key.left,DOWN
2456,'d',DOWN
2489,'d',UP
2493,Key.left,UP
2504,Key.left,DOWN
2520,Key.left,UP
2523,'d',DOWN
2533,'d',UP
2548,Key.right,DOWN
2591,'d',DOWN
2608,Key.right,UP
2620,Key.right,DOWN
2624,'d',UP
2626,Key.right,UP
2646,Key.right,DOWN
2648,'d',DOWN
2654,'d',UP
2695,'d',DOWN
2716,Key.right,UP
2718,'d',UP
2727,Key.right,DOWN
2743,Key.right,UP
2753,Key.right,DOWN
2753,'d',DOWN
2780,Key.right,UP
2781,'d',UP
2791,Key.right,DOWN
2800,'d',DOWN
2830,'d',UP
2835,'d',DOWN
2856,'d',UP
2870,'d',DOWN
2901,Key.right,UP
2901,'d',UP
2930,Key.right,DOWN
3008,Key.right,UP
3054,'s',DOWN
3068,'s',UP
3078,Key.right,DOWN
3110,Key.right,UP
3112,'d',DOWN
3126,'d',UP
3154,Key.left,DOWN
3178,'d',DOWN
3188,Key.left,UP
3191,'d',UP
3232,Key.right,DOWN
3287,'d',DOWN
3336,Key.right,UP
3341,'d',UP
3354,Key.right,DOWN
3361,'d',DOWN
3431,Key.right,UP
3434,'d',UP
3443,Key.right,DOWN
3471,Key.right,UP
3486,Key.left,DOWN
3503,Key.left,UP
3506,Key.right,DOWN
3562,'d',DOWN
3589,Key.right,UP
3641,Key.right,DOWN
3681,'d',UP
3686,'d',DOWN
3691,'d',UP
3693,Key.right,UP
3697,'d',DOWN
3713,Key.right,DOWN
3722,'d',UP
3744,Key.right,UP
3754,Key.left,DOWN
3792,'d',DOWN
3826,'d',UP
3833,Key.left,UP
3837,Key.right,DOWN
3863,Key.right,UP
3871,Key.right,DOWN
3883,Key.right,UP
3920,Key.right,DOWN
3933,'d',DOWN
3966,'d',UP
3976,'d',DOWN
3982,'d',UP
3990,Key.right,UP
4008,Key.right,DOWN
4043,'d',DOWN
4091,'d',UP
4093,Key.right,UP
4100,'s',DOWN
4105,'s',UP
4147,Key.right,DOWN
4210,Key.left,DOWN
4210,Key.right,UP
4220,'s',DOWN
4227,'s',UP
4232,'s',DOWN
4238,'s',UP
4243,'s',DOWN
4247,'s',UP
4253,'s',DOWN
4257,'s',UP
4264,'s',DOWN
4268,'s',UP
4274,'s',DOWN
4279,Key.left,UP
4279,'s',UP
4282,Key.right,DOWN
4316,'d',DOWN
4322,'d',UP
4327,'d',DOWN
4330,'d',UP
4336,Key.right,UP
4355,'d',DOWN
4360,'d',UP
4366,'d',DOWN
4370,'d',UP
4394,'s',DOWN
4401,'s',UP
4408,'s',DOWN
4414,'s',UP
4424,'s',DOWN
4429,'s',UP
4437,'s',DOWN
4443,'s',UP
4447,Key.right,DOWN
4590,'d',DOWN
4594,Key.right,UP
4603,'d',UP
4610,Key.right,DOWN
4624,Key.right,UP
4634,Key.right,DOWN
4646,'d',DOWN
4648,Key.right,UP
4654,'d',UP
4684,'d',DOWN
4687,'d',UP
4693,'d',DOWN
4697,'d',UP
4716,'d',DOWN
4722,'d',UP
4726,'s',DOWN
4732,'s',UP
4747,'s',DOWN
4751,'s',UP
4757,'s',DOWN
4761,'s',UP
4767,'s',DOWN
4771,'s',UP
4781,Key.right,DOWN
4807,Key.right,UP
4809,'d',DOWN
4823,'d',UP
4828,Key.right,DOWN
4876,Key.right,UP
4876,'d',DOWN
4886,'d',UP
4894,Key.right,DOWN
4908,Key.right,UP
4927,Key.right,DOWN
4977,'d',DOWN
4979,Key.right,UP
5008,'d',UP
5019,Key.left,DOWN
5066,Key.left,UP
5066,Key.right,DOWN
5068,'d',DOWN
5123,'d',UP
5126,Key.right,UP
5130,Key.left,DOWN
5145,'s',DOWN
5154,'s',UP
5157,Key.left,UP
5159,'s',DOWN
5162,Key.left,DOWN
5164,'s',UP
5168,Key.left,UP
5170,'s',DOWN
5171,Key.left,DOWN
5174,'s',UP
5182,'d',DOWN
5185,'d',UP
5193,Key.left,UP
5193,'d',DOWN
5195,Key.right,DOWN
5199,'d',UP
5253,'d',DOWN
5277,'d',UP
5279,Key.right,UP
5290,Key.left,DOWN
5296,Key.left,UP
5300,'s',DOWN
5309,'s',UP
5320,'s',DOWN
5327,'s',UP
5333,'d',DOWN
5343,'d',UP
5352,'d',DOWN
5360,'d',UP
5362,Key.right,DOWN
5373,Key.right,UP
5385,'d',DOWN
5396,'d',UP
5409,Key.right,DOWN
5427,'d',DOWN
5461,Key.right,UP
5461,'d',UP
5468,Key.right,DOWN
5470,'d',DOWN
5511,Key.right,UP
5515,'d',UP
5521,Key.right,DOWN
5521,'d',DOWN
5545,'d',UP
5552,'d',DOWN
5577,Key.right,UP
5578,'d',UP
5582,Key.right,DOWN
5588,'d',DOWN
5634,'d',UP
5642,'d',DOWN
5667,'d',UP
5672,'d',DOWN
5686,'s',DOWN
5688,'d',UP
5696,'d',DOWN
5699,'s',UP
5724,'d',UP
5726,Key.right,UP
5742,Key.right,DOWN
5744,'d',DOWN
5756,Key.left,DOWN
5760,'d',UP
5763,Key.left,UP
5763,Key.right,UP
5763,'s',DOWN
5764,Key.left,DOWN
5767,'s',UP
5769,Key.left,UP
5769,'d',DOWN
5773,Key.left,DOWN
5773,Key.right,DOWN
5773,'s',DOWN
5776,Key.left,UP
5776,'d',UP
5779,Key.left,DOWN
5779,'d',DOWN
5782,'s',UP
5783,Key.left,UP
5788,Key.left,DOWN
5788,'s',DOWN
5789,'d',UP
5796,Key.left,UP
5796,Key.right,UP
5796,'d',DOWN
5798,'s',UP
5805,'d',UP
6210,Key.right,DOWN
6254,'d',DOWN
6306,Key.right,UP
6306,'d',UP
6318,Key.left,DOWN
6345,Key.left,UP
6372,Key.right,DOWN
6391,'d',DOWN
6425,'d',UP
6432,Key.right,UP
6440,Key.right,DOWN
6471,'d',DOWN
6503,'d',UP
6506,Key.right,UP
6513,Key.right,DOWN
6538,'d',DOWN
6562,Key.right,UP
